cohort_month,cohort_index,retention_pct
2016-09,1,100.0
2016-10,1,100.0
2016-12,1,100.0
2017-01,1,100.0
2017-02,1,100.0
2017-03,1,100.0
2017-04,1,100.0
2017-05,1,100.0
2017-06,1,100.0
2017-07,1,100.0
2017-08,1,100.0
2017-09,1,100.0
2017-10,1,100.0
2017-11,1,100.0
2017-12,1,100.0
2018-01,1,100.0
2018-02,1,100.0
2018-03,1,100.0
2018-04,1,100.0
2018-05,1,100.0
2018-06,1,100.0
2018-07,1,100.0
2018-08,1,100.0
2016-12,2,100.0
2017-01,2,0.28
2017-02,2,0.18
2017-03,2,0.44
2017-04,2,0.62
2017-05,2,0.46
2017-06,2,0.49
2017-07,2,0.53
2017-08,2,0.69
2017-09,2,0.7
2017-10,2,0.72
2017-11,2,0.57
2017-12,2,0.21
2018-01,2,0.34
2018-02,2,0.35
2018-03,2,0.4
2018-04,2,0.59
2018-05,2,0.52
2018-06,2,0.43
2018-07,2,0.52
2017-01,3,0.28
2017-02,3,0.31
2017-03,3,0.36
2017-04,3,0.22
2017-05,3,0.46
2017-06,3,0.4
2017-07,3,0.35
2017-08,3,0.35
2017-09,3,0.55
2017-10,3,0.25
2017-11,3,0.37
2017-12,3,0.28
2018-01,3,0.37
2018-02,3,0.4
2018-03,3,0.3
2018-04,3,0.3
2018-05,3,0.26
2018-06,3,0.27
2017-01,4,0.14
2017-02,4,0.12
2017-03,4,0.4
2017-04,4,0.18
2017-05,4,0.29
2017-06,4,0.43
2017-07,4,0.24
2017-08,4,0.27
2017-09,4,0.27
2017-10,4,0.09
2017-11,4,0.17
2017-12,4,0.34
2018-01,4,0.29
2018-02,4,0.3
2018-03,4,0.3
2018-04,4,0.24
2018-05,4,0.18
2017-01,5,0.42
2017-02,5,0.43
2017-03,5,0.36
2017-04,5,0.27
2017-05,5,0.29
2017-06,5,0.3
2017-07,5,0.29
2017-08,5,0.35
2017-09,5,0.45
2017-10,5,0.23
2017-11,5,0.17
2017-12,5,0.26
2018-01,5,0.29
2018-02,5,0.25
2018-03,5,0.12
2018-04,5,0.14
2017-01,6,0.14
2017-02,6,0.12
2017-03,6,0.16
2017-04,6,0.27
2017-05,6,0.32
2017-06,6,0.4
2017-07,6,0.21
2017-08,6,0.52
2017-09,6,0.22
2017-10,6,0.21
2017-11,6,0.18
2017-12,6,0.21
2018-01,6,0.16
2018-02,6,0.22
2018-03,6,0.12
2016-10,7,0.38
2017-01,7,0.42
2017-02,7,0.25
2017-03,7,0.16
2017-04,7,0.35
2017-05,7,0.41
2017-06,7,0.36
2017-07,7,0.32
2017-08,7,0.3
2017-09,7,0.22
2017-10,7,0.21
2017-11,7,0.11
2017-12,7,0.17
2018-01,7,0.18
2018-02,7,0.21
2017-01,8,0.14
2017-02,8,0.18
2017-03,8,0.32
2017-04,8,0.31
2017-05,8,0.14
2017-06,8,0.23
2017-07,8,0.11
2017-08,8,0.27
2017-09,8,0.25
2017-10,8,0.37
2017-11,8,0.18
2017-12,8,0.02
2018-01,8,0.23
2017-01,9,0.14
2017-02,9,0.12
2017-03,9,0.32
2017-04,9,0.31
2017-05,9,0.26
2017-06,9,0.13
2017-07,9,0.19
2017-08,9,0.15
2017-09,9,0.27
2017-10,9,0.28
2017-11,9,0.13
2017-12,9,0.19
2016-10,10,0.38
2017-02,10,0.18
2017-03,10,0.08
2017-04,10,0.18
2017-05,10,0.26
2017-06,10,0.2
2017-07,10,0.27
2017-08,10,0.15
2017-09,10,0.17
2017-10,10,0.18
2017-11,10,0.06
2017-01,11,0.42
2017-02,11,0.12
2017-03,11,0.36
2017-04,11,0.27
2017-05,11,0.26
2017-06,11,0.3
2017-07,11,0.21
2017-08,11,0.25
2017-09,11,0.25
2017-10,11,0.21
2016-10,12,0.38
2017-01,12,0.14
2017-02,12,0.31
2017-03,12,0.12
2017-04,12,0.09
2017-05,12,0.35
2017-06,12,0.36
2017-07,12,0.29
2017-08,12,0.2
2017-09,12,0.07
2017-01,13,0.7
2017-02,13,0.12
2017-03,13,0.2
2017-04,13,0.04
2017-05,13,0.23
2017-06,13,0.16
2017-07,13,0.13
2017-08,13,0.12
2016-10,14,0.38
2017-01,14,0.42
2017-02,14,0.18
2017-03,14,0.12
2017-04,14,0.04
2017-05,14,0.03
2017-06,14,0.16
2017-07,14,0.24
2017-01,15,0.14
2017-02,15,0.12
2017-03,15,0.16
2017-04,15,0.09
2017-05,15,0.17
2017-06,15,0.23
2016-10,16,0.38
2017-01,16,0.14
2017-02,16,0.06
2017-03,16,0.24
2017-04,16,0.09
2017-05,16,0.2
2017-01,17,0.28
2017-02,17,0.06
2017-03,17,0.08
2017-04,17,0.13
2016-10,18,0.38
2017-01,18,0.42
2017-02,18,0.18
2017-03,18,0.12
2016-10,20,0.76
2017-01,20,0.14
2016-10,21,0.76
